user_id,recommended_items
285,1801603	561135	1044036	1755502	1838908	
902,2200859	2409634	1588612	1671183	2750191	
948,2778525	1244196	1386412	657183	2791339	
1183,1928254	1290786	827402	1732848	558807	
1286,2778525	1244196	1386412	657183	2791339	
1509,882543	1972115	2086041	1564530	2748150	
1776,1757758	2343151	760252	1277140	254458	
1982,2778525	1244196	1386412	657183	2791339	
2742,2778525	1244196	1386412	657183	2791339	
3161,1920371	628832	1219513	2778525	1244196	
3256,1089692	1141233	1591624	2031981	548592	
3375,2778525	1244196	1386412	657183	2791339	
3547,2778525	1244196	1386412	657183	2791339	
3630,2321584	1249278	499178	1059979	2373828	
3806,1800512	947818	795181	885731	137527	
4607,2778525	1244196	1386412	657183	2791339	
5112,2778525	1244196	1386412	657183	2791339	
5627,2778525	1244196	1386412	657183	2791339	
5686,2077469	2826101	2568283	2309062	477560	
5738,1426983	1460626	1245551	1666726	2745021	
5839,1063997	1521704	433003	3236	357345	
6442,677711	647105	1301191	947610	2032439	
7182,2772600	333993	819496	829088	160223	
7693,2778525	1244196	1386412	657183	2791339	
8316,1804721	85340	2711033	983047	1718852	
9660,2246580	734196	1474342	2685863	107246	
9680,386188	624750	2184058	2343092	1017628	
10044,2778525	1244196	1386412	657183	2791339	
10316,536047	1091049	2413494	826942	2642267	
10469,2553721	2527975	2188683	2348573	1486947	
10470,1589181	847357	100254	470426	2254947	
10870,2778525	1244196	1386412	657183	2791339	
10956,1469661	701500	459760	1095941	2526320	
11027,1982016	2118332	931519	2271390	1961769	
11380,1993132	1038469	2269134	1530155	1891459	
11423,2778525	1244196	1386412	657183	2791339	
11805,951143	622008	1165869	1414197	1050778	
12046,1298320	1286007	2637071	1345329	1873514	
12097,847163	1278887	1436505	349653	886884	
12233,2778525	1244196	1386412	657183	2791339	
12593,2778525	1244196	1386412	657183	2791339	
12626,1844001	1941791	972918	1652470	2397044	
12630,2443949	578650	1610620	794365	2299554	
12671,2778525	1244196	1386412	657183	2791339	
12689,2725896	654495	660656	1337011	2179589	
12750,536047	784737	1984327	398211	1713884	
12852,550947	1604145	536047	1445649	752443	
13715,2778525	1244196	1386412	657183	2791339	
14269,606934	2778525	104981	1430879	724014	
14624,1025695	1009366	1301883	2128544	933485	
14792,1828649	1134703	1157391	441038	1426986	
14966,2778525	1244196	1386412	657183	2791339	
15006,546461	1838170	1993864	2119782	2833982	
15100,1029608	1366236	1728143	1218016	2803577	
15549,536047	1091049	1795584	826942	2642267	
15611,2778525	1244196	1386412	657183	2791339	
16228,2778525	1244196	1386412	657183	2791339	
16874,2119602	2256942	2507411	2477239	2371498	
16971,930736	1258303	825883	2814724	2104869	
18097,540654	2258108	2219989	2431623	1726380	
18564,354473	902396	1867675	992143	1550643	
18796,1462268	1860122	295459	1813897	524846	
18994,111095	1492328	100254	1328711	2147999	
19544,2778525	1244196	1386412	657183	2791339	
19679,2479643	2453690	1550099	668146	1827898	
19704,434036	484200	155743	973448	2129958	
20101,208937	1425726	1786809	1325341	633578	
20679,2778525	1244196	1386412	657183	2791339	
20815,1212173	2013935	408209	1130719	1704145	
20979,1221097	161100	907232	485102	2588067	
21195,2705759	1601025	1249278	2625619	992801	
21324,1520888	851691	13121	2458668	1071287	
21578,2778525	1244196	1386412	657183	2791339	
21627,1575865	257322	1344373	317604	657183	
21663,2778525	1244196	1386412	657183	2791339	
21813,1624638	2104869	2813546	1044622	398211	
21835,1560628	726901	1016960	2778525	1244196	
22107,746757	466593	71347	865029	2813646	
22206,1469274	1325341	1795868	274885	2382358	
22591,2778525	1244196	1386412	657183	2791339	
22728,2778525	1244196	1386412	657183	2791339	
23229,2778525	1244196	1386412	657183	2791339	
23361,2435097	374376	1528532	2251554	2441105	
23459,2313955	949304	1511831	158526	1641206	
23667,243727	580727	578161	1078856	585892	
23718,2778525	1244196	1386412	657183	2791339	
24419,2778525	1244196	1386412	657183	2791339	
24465,784737	437245	1476432	2774733	278589	
25906,2468672	1375056	91565	1054590	1968851	
26038,920520	2010573	2546303	1421809	1887979	
26658,677711	2396870	2778525	2059218	2368407	
27187,107638	862860	1623663	141739	2342153	
27501,225280	1971924	830631	2309302	199255	
27638,796373	1637644	799322	1907735	778565	
27707,1211336	2832662	384116	1967011	1472192	
27727,2813546	983679	278589	1985574	1734843	
27845,426673	2148267	282710	563202	2218886	
27931,2544454	195997	1023908	1125573	314875	
28232,365846	768859	58071	1807264	536047	
28739,1422861	1143366	1798827	315406	665630	
28801,894811	2534594	1181656	1960755	2506278	
28972,2778525	1244196	1386412	657183	2791339	
29072,186124	2114633	2146496	381379	1726296	
29146,2778525	1244196	1386412	657183	2791339	
29212,1189793	802760	2372062	1840914	2630936	
29340,1003558	256358	2580281	343292	1660941	
29449,1562961	536047	2489959	1091049	1017542	
29519,1298	2326685	286824	437245	1398399	
30094,965978	2129142	2712821	2602263	1818827	
30368,2778525	1244196	1386412	657183	2791339	
