{285:[(1801603,0.783601219626),(561135,0.676123403783),(1044036,0.538461538462),(1755502,0.417596600778),(1838908,0.375),]
902:[(2200859,0.960871301106),(2409634,0.937042571332),(1588612,0.936585811582),(1671183,0.732793491626),(2750191,0.725240667623),]
948:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
1183:[(1928254,0.948683298051),(1290786,0.816496580928),(827402,0.707106781187),(1732848,0.549197782926),(558807,0.408248290464),]
1286:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
1509:[(882543,0.731917430811),(1972115,0.707106781187),(2086041,0.454986062898),(1564530,0.4472135955),(2748150,0.4472135955),]
1776:[(1757758,0.452267016867),(2343151,0.362905616013),(760252,0.301511344578),(1277140,0.301511344578),(254458,0.301511344578),]
1982:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
2742:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
3161:[(1920371,0.597716981445),(628832,0.408248290464),(1219513,0.0),(2778525,-2),(1244196,-3),]
3256:[(1089692,0.894427191),(1141233,0.707106781187),(1591624,0.676123403783),(2031981,0.647159419821),(548592,0.57735026919),]
3375:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
3547:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
3630:[(2321584,0.75),(1249278,0.707106781187),(499178,0.684633887472),(1059979,0.668153104781),(2373828,0.664410597027),]
3806:[(1800512,0.970142500145),(947818,0.762388115781),(795181,0.632455532034),(885731,0.611430924702),(137527,0.57735026919),]
4607:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
5112:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
5627:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
5686:[(2077469,0.948683298051),(2826101,0.895533471189),(2568283,0.894427191),(2309062,0.707106781187),(477560,0.707106781187),]
5738:[(1426983,0.834057656228),(1460626,0.811107105654),(1245551,0.762492851663),(1666726,0.727606875109),(2745021,0.707106781187),]
5839:[(1063997,0.472302250231),(1521704,0.4472135955),(433003,0.324442842262),(3236,0.252421897147),(357345,0.245769576156),]
6442:[(677711,0.928476690885),(647105,0.68599434057),(1301191,0.57735026919),(947610,0.5),(2032439,0.5),]
7182:[(2772600,0.894427191),(333993,0.650368133266),(819496,0.544331053952),(829088,0.544331053952),(160223,0.3577708764),]
7693:[(2778525,-2),(1244196,-3),(1386412,-4),(657183,-5),(2791339,-6),]
